name,uri,score
FANCC,ncbigene:2176,14
FANCD2,ncbigene:2177,14
FANCA,ncbigene:2175,13
FANCG,ncbigene:2189,13
BRCA2,ncbigene:675,13
BRCA1,ncbigene:672,12
IL-6,ncbigene:3569,12
CD34,ncbigene:947,12
TNF-alpha,ncbigene:21926,12
NF-kappaB,ncbigene:4790,12
CDK1,ncbigene:983,12
Fancc,ncbigene:14088,12
FANCF,ncbigene:2188,12
FANCI,ncbigene:55215,11
XRCC2,ncbigene:7516,11
AFP,ncbigene:174,11
CD34,ncbigene:12490,11
FANCD2,ncbigene:415935,11
FANCM,ncbigene:57697,11
UBE2T,ncbigene:29089,11
p53,ncbigene:7157,11
BRIP1,ncbigene:83990,11
SCC,ncbigene:6317,11
RAD51C,ncbigene:5889,10
TNF-alpha,ncbigene:7124,10
FAZF,ncbigene:27033,10
RFWD3,ncbigene:55159,9
IL-10,ncbigene:3586,9
NAT,ncbigene:6046,9
insulin,ncbigene:3630,9
FAN1,ncbigene:22909,8
IL-1beta,ncbigene:3553,8
FANCL,ncbigene:55120,8
PARP,ncbigene:142,8
STAT1,ncbigene:6772,8
Bach1,ncbigene:571,7
EVI1,ncbigene:14013,7
USP1,ncbigene:7398,7
flap,ncbigene:241,7
Nanog,ncbigene:79923,7
ETA,ncbigene:1909,7
XPD,ncbigene:2068,7
FoxO3a,ncbigene:56484,7
thioredoxin,ncbigene:7295,7
Fancd2,ncbigene:211651,6
helicase,ncbigene:164045,6
MMP-2,ncbigene:4313,6
ALDH2,ncbigene:11669,6
MLH1,ncbigene:4292,6
HN2,ncbigene:100462981,6
Fab,ncbigene:2187,6
Id2,ncbigene:3398,6
caspase-8,ncbigene:841,5
IGF-I,ncbigene:3479,5
caspase-3,ncbigene:836,5
PRDX3,ncbigene:10935,5
COXIV,ncbigene:1327,5
GSTT1,ncbigene:2952,4
alpha-fodrin,ncbigene:6709,4
FOXO3a,ncbigene:2309,4
Miz-1,ncbigene:7709,4
ALDH2,ncbigene:217,4
PPARgamma,ncbigene:5468,4
fumarylacetoacetate hydrolase,ncbigene:2184,4
NBS1,ncbigene:4683,4
FL,ncbigene:2323,4
caveolin-1,ncbigene:857,3
STAT1,ncbigene:20846,3
SOD1,ncbigene:6647,2
PLZF,ncbigene:7704,2
RUNX1,ncbigene:861,2
Pontin,ncbigene:8607,2
G-CSF,ncbigene:12985,2
CD8,ncbigene:925,2
p53,ncbigene:22059,2
FAP,ncbigene:2191,2
RAD18,ncbigene:56852,2
Hsp90,ncbigene:3320,2
HPRT,ncbigene:3251,2
Shh,ncbigene:20423,1
CD38,ncbigene:952,1
ATM,ncbigene:472,1
beta-catenin,ncbigene:1499,1
Bax,ncbigene:581,1
RPA,ncbigene:6117,0
glycophorin A,ncbigene:2993,0
G-CSF,ncbigene:1440,0
AR,ncbigene:367,0
