fa_iri	hit_iri	score
55159	7391	0.333333
55159	393	0.333333
55159	8882	0.25
55159	2683	0.25
55159	121642	0.25
55159	26747	0.333333
55159	148266	0.25
55159	25914	0.25
55159	55968	0.333333
55159	3059	0.25
55159	7341	0.333333
7516	518	0.2
7516	8800	0.333333
7516	9223	0.2
7516	81572	0.333333
7516	9318	0.333333
7516	79845	0.2
7516	5071	0.2
7516	84671	0.25
7516	8243	0.25
84464	201627	0.2
84464	54472	0.2
84464	94107	0.2
84464	147015	0.2
84464	84524	0.25
84464	51012	0.2
84464	11021	0.25
84464	10190	0.25
84464	4152	0.25
84464	80007	0.25
84464	55269	0.25
84464	100885848	0.25
84464	25829	0.25
84464	54520	0.2
84464	51548	0.25
84464	57336	0.25
84464	23293	0.25
84464	83461	0.2
84464	92335	0.2
84464	11344	0.2
84464	51008	0.2
84464	28987	0.25
84464	54497	0.2
84464	54832	0.2
84464	54461	0.2
84464	257236	0.2
84464	55776	0.2
84464	8131	0.25
84464	133957	0.25
84464	9277	0.2
84464	79673	0.2
84464	54069	0.2
84464	10200	0.2
84464	29104	0.25
84464	221060	0.2
84464	81622	0.25
84464	7335	0.25
84464	9870	0.25
84464	10147	0.2
84464	8379	0.25
84464	25897	0.25
84464	4201	0.2
84464	6390	0.2
84464	8479	0.25
84464	646851	0.25
84464	8666	0.25
84464	51650	0.2
84464	664	0.2
84464	153396	0.2
84464	5576	0.25
84464	51552	0.25
84464	7709	0.25
84464	6655	0.2
84464	84904	0.25
84464	4212	0.2
84464	9647	0.25
84464	22807	0.25
84464	282974	0.2
84464	23543	0.25
84464	64718	0.2
84464	92002	0.2
84464	5457	0.25
84464	126272	0.25
84464	159013	0.2
84464	3646	0.25
84464	1936	0.2
84464	64428	0.2
83990	79763	0.2
83990	79639	0.5
83990	27	1
83990	109504726	1
83990	514	0.2
83990	55716	0.333333
83990	2804	0.25
79728	54344	0.25
79728	26190	0.25
79728	56957	0.2
79728	388695	0.25
79728	56851	0.2
79728	253769	0.2
79728	84261	0.333333
79728	123775	0.333333
79728	285600	0.2
79728	80233	0.25
79728	4594	0.25
79728	388969	0.25
79728	57470	0.25
79728	4913	0.25
79728	171017	0.2
79728	10489	0.2
79728	93210	0.333333
79728	27349	0.2
79728	29058	0.2
79728	5481	0.25
79728	5863	0.2
2176	257	0.25
2176	84886	0.2
2176	25937	0.25
2176	390792	0.25
2176	27127	0.2
2176	9468	0.25
2176	283316	0.25
2176	5602	0.25
2176	83417	0.25
2176	7049	0.25
2176	23428	0.25
2176	311	0.25
2176	5325	0.25
2176	5178	0.25
2176	2938	0.25
2176	266	0.25
2176	84076	0.25
2176	401505	0.25
2176	4868	0.25
2176	2939	0.2
2176	23576	0.2
55120	23283	0.25
55120	10274	0.2
55120	22929	0.2
55120	9282	0.25
55120	10644	0.333333
55120	51592	0.2
55120	23548	0.2
2187	3766	0.333333
2187	80045	0.333333
2187	80194	0.333333
2187	9906	0.333333
2187	23129	0.333333
2187	57678	0.333333
2187	55658	0.25
2187	57556	0.333333
2187	9584	0.25
2187	9215	0.333333
2187	79443	0.333333
2187	79651	0.25
2187	2686	0.333333
2175	51161	0.2
2175	5232	0.25
2175	3981	0.2
2175	284076	0.2
2175	84650	0.2
2175	23155	0.2
2175	57623	0.2
2175	6093	0.25
2175	55171	0.25
2175	606495	0.25
2175	54830	0.2
2175	90957	0.25
2175	441381	0.25
2175	81888	0.25
2175	5166	0.25
2175	51645	0.25
2175	55147	0.2
2175	22976	0.25
2175	23193	0.2
2175	4706	0.25
2175	7568	0.25
2175	8659	0.25
2175	54785	0.2
2175	57577	0.2
2175	348995	0.25
2175	6566	0.2
2175	8242	0.2
2175	6604	0.25
2175	9928	0.2
2175	9131	0.2
2175	81551	0.2
2175	54756	0.25
2175	3376	0.2
2175	29028	0.2
2175	9517	0.2
2175	54929	0.2
29089	25851	0.333333
29089	51258	0.2
29089	400073	0.2
29089	3608	1
29089	130940	0.2
29089	54986	0.5
29089	2804	0.25
29089	54934	0.25
29089	124935	0.25
29089	1718	0.5
29089	10130	0.5
29089	1152	0.5
29089	8125	1
29089	23130	0.333333
29089	143098	0.333333
29089	54509	0.333333
29089	171392	1
29089	80217	0.5
29089	1039	0.5
29089	340252	1
29089	699	0.2
29089	122416	0.25
29089	58492	0.25
29089	7029	0.25
29089	54958	1
29089	130540	0.333333
29089	219743	0.5
29089	162989	0.25
201254	5232	0.2
201254	84328	0.2
201254	51302	0.2
201254	606495	0.2
201254	55171	0.2
