fa_iri	hit_iri	score
201254	2287	0.2
201254	54464	0.2
201254	8659	0.2
201254	90957	0.2
201254	54700	0.2
201254	342184	0.2
201254	57623	0.2
201254	2050	0.2
201254	5166	0.2
201254	51645	0.2
201254	348995	0.2
201254	2517	0.2
201254	3376	0.2
201254	285282	0.2
201254	7568	0.2
201254	3108	0.2
201254	6293	0.2
201254	79641	0.2
201254	55147	0.2
201254	283152	0.2
201254	388272	0.2
201254	64410	0.2
201254	162972	0.2
201254	83546	0.2
201254	65010	0.2
201254	81888	0.2
199990	80320	0.2
199990	51363	0.5
199990	388289	0.25
199990	653319	0.333333
199990	6425	0.25
199990	4640	0.25
199990	4625	0.25
199990	253650	0.5
199990	275	0.25
199990	970	0.25
199990	2843	0.5
199990	84330	0.25
199990	51170	0.25
199990	79007	0.25
199990	302	0.2
199990	57409	0.2
199990	5739	0.25
199990	587	0.333333
199990	57596	0.25
199990	392636	0.25
199990	64718	0.333333
199990	3972	0.2
199990	4148	0.5
199990	401466	0.2
199990	84891	0.25
199990	51065	0.333333
199990	220001	0.25
199990	8260	0.333333
199990	56952	0.25
199990	634	0.25
80233	54344	0.333333
80233	26190	0.333333
80233	220002	0.2
80233	388695	0.333333
80233	56851	0.25
80233	285782	0.2
80233	27349	0.25
80233	285600	0.25
80233	123775	0.5
80233	10489	0.333333
80233	51639	0.2
80233	6780	0.2
80233	4913	0.333333
80233	171017	0.25
80233	388969	0.333333
80233	29058	0.25
80233	6194	0.2
80233	219541	0.2
80233	79728	0.25
80233	5863	0.25
80233	253769	0.25
80233	57470	0.333333
80233	6883	0.2
80233	84261	0.5
80233	4594	0.333333
80233	56957	0.25
80233	5481	0.333333
80233	400506	0.2
80233	93210	0.5
80233	78996	0.2
