subj,type,obj
C0007115,PROCESS_OF,C0027361
C0007634,PART_OF,C0005847
C0007634,PART_OF,C0229889
C0006826,ISA,C0012634
C0040137,ISA,C0012634
C0028259,LOCATION_OF,C0334590
C0028259,LOCATION_OF,C1337013
C3272281,PROCESS_OF,C0030705
C1337013,PROCESS_OF,C0030705
C0229671,LOCATION_OF,C0040123
C1510483,ADMINISTERED_TO,C0030705
C0033131,TREATS,C0030705
C0040132,LOCATION_OF,C2826292
C0234254,PROCESS_OF,C0015576
C0234254,PROCESS_OF,C0033131
C0015392,PART_OF,C0237433
C0162429,CAUSES,C0018021
C0007634,LOCATION_OF,C0021966
C0020281,INTERACTS_WITH,C0021966
C0040132,LOCATION_OF,C1441129
C0030705,LOCATION_OF,C0022262
C0036098,LOCATION_OF,C0021968
C0796494,LOCATION_OF,C1334045
C0796494,LOCATION_OF,C1333077
C0005767,LOCATION_OF,C0021966
C0597357,CAUSES,C3245470
C0001492,STIMULATES,C0031669
C0596235,STIMULATES,C0033634
C0041182,CAUSES,C2362538
C0232478,PROCESS_OF,C0030705
C0858451,USES,C0034844
C0017973,CAUSES,C0424810
C0043047,CAUSES,C0424810
C0029180,LOCATION_OF,C0441633
C0018787,LOCATION_OF,C0035204
C0205054,LOCATION_OF,C0004096
C0015397,PROCESS_OF,C0030705
C0033497,DISRUPTS,C0004096
C0015230,PROCESS_OF,C0030705
C3280118,PROCESS_OF,C0030705
C0238242,PROCESS_OF,C0871685
C0021966,CAUSES,C0020676
C1510438,USES,C0359168
C1550100,LOCATION_OF,C0003241
C0003241,CAUSES,C0853041
C0014442,CAUSES,C0853041
C1510438,DIAGNOSES,C0442893
C1704258,PROCESS_OF,C0870668
C0231218,PROCESS_OF,C0030705
C0019693,PROCESS_OF,C0030705
C0013227,TREATS,C0231218
C0221423,PROCESS_OF,C0030705
C0021968,PART_OF,C0030705
C0279175,PART_OF,C1285092
C0279175,INTERACTS_WITH,C0040135
C0041485,INHIBITS,C0040123
C0023870,INTERACTS_WITH,C0017649
C0009002,STIMULATES,C0014939
C0060161,ISA,C0003211
C0040135,INTERACTS_WITH,C0032120
C0032120,INTERACTS_WITH,C3814864
C0019932,INTERACTS_WITH,C0032120
C0020550,COEXISTS_WITH,C0020676
C0006104,LOCATION_OF,C0020550
C0032043,LOCATION_OF,C0020550
C0032105,LOCATION_OF,C0017649
C0229671,PART_OF,C0030705
C0003241,INTERACTS_WITH,C0017649
C0019932,INTERACTS_WITH,C0017649
C0011946,METHOD_OF,C0185115
C1441554,METHOD_OF,C1510438
C0014597,LOCATION_OF,C0040136
C0014597,LOCATION_OF,C0007115
C0027651,CAUSES,C0024299
C0260037,COEXISTS_WITH,C0007115
C0677930,COEXISTS_WITH,C0027627
C0018284,PART_OF,C0007115
C0021665,ASSOCIATED_WITH,C0027651
C0597357,AFFECTS,C3537152
C0027651,PROCESS_OF,C0030705
C1511695,PROCESS_OF,C0030705
C1514850,AFFECTS,C0206693
C0206693,PART_OF,C1515441
C0751984,AFFECTS,C1516359
C0079419,ISA,C0079427
C0034677,ASSOCIATED_WITH,C0205647
C0079419,ASSOCIATED_WITH,C0205647
C0079419,ASSOCIATED_WITH,C1332287
C0007115,PROCESS_OF,C0030705
C0221093,TREATS,C0028259
C0181839,TREATS,C0011900
